,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
10,1896,Athens,Aquatics,Swimming,Antonios Pepanos,GRE,Men,400M Freestyle,Silver,Greece
11,1896,Athens,Athletics,Athletics,Francis Lane,USA,Men,100M,Bronze,United States
12,1896,Athens,Athletics,Athletics,Alajos Szokolyi,HUN,Men,100M,Bronze,Hungary
13,1896,Athens,Athletics,Athletics,Thomas Burke,USA,Men,100M,Gold,United States
14,1896,Athens,Athletics,Athletics,Fritz Hofmann,GER,Men,100M,Silver,Germany
15,1896,Athens,Athletics,Athletics,Thomas Curtis,USA,Men,110M Hurdles,Gold,United States
16,1896,Athens,Athletics,Athletics,Grantley Goulding,GBR,Men,110M Hurdles,Silver,United Kingdom
17,1896,Athens,Athletics,Athletics,Albin Lermusiaux,FRA,Men,1500M,Bronze,France
18,1896,Athens,Athletics,Athletics,Edwin Flack,AUS,Men,1500M,Gold,Australia
19,1896,Athens,Athletics,Athletics,Arthur Blake,USA,Men,1500M,Silver,United States
20,1896,Athens,Athletics,Athletics,Charles Gmelin,GBR,Men,400M,Bronze,United Kingdom
21,1896,Athens,Athletics,Athletics,Thomas Burke,USA,Men,400M,Gold,United States
22,1896,Athens,Athletics,Athletics,Herbert Jamison,USA,Men,400M,Silver,United States
23,1896,Athens,Athletics,Athletics,Dimitrios Golemis,GRE,Men,800M,Bronze,Greece
24,1896,Athens,Athletics,Athletics,Edwin Flack,AUS,Men,800M,Gold,Australia
25,1896,Athens,Athletics,Athletics,Nandor Dani,HUN,Men,800M,Silver,Hungary
26,1896,Athens,Athletics,Athletics,Sotirios Versis,GRE,Men,Discus Throw,Bronze,Greece
27,1896,Athens,Athletics,Athletics,Robert Garrett,USA,Men,Discus Throw,Gold,United States
28,1896,Athens,Athletics,Athletics,Panagiotis Paraskevopoulos,GRE,Men,Discus Throw,Silver,Greece
29,1896,Athens,Athletics,Athletics,Ellery Clark,USA,Men,High Jump,Gold,United States
30,1896,Athens,Athletics,Athletics,James Connolly,USA,Men,High Jump,Silver,United States
31,1896,Athens,Athletics,Athletics,Robert Garrett,USA,Men,High Jump,Silver,United States
